"Drive","Path","Name","Extension","SizeGB","SizeMB","LastWrite","Type"
"C","C:\Users\enrik\AppData\Local\Microsoft\IdentityCache\1\UD\u_JRN7PUU2A1SE7ISK\e_C2GK9UTC67FSUCG3\ID\r_74DB6FURNR2TGPBK\c_VMKM3FJ266RBBIFS.bin","c_VMKM3FJ266RBBIFS.bin",".bin","0","0","03/05/2026 16:31:23","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\SSMS\22.0_59da8ebd\VTC\3038cb9bbc2efe7dd368eae759500eac\~IC\Templates\cache.bin","cache.bin",".bin","0","0","30/04/2026 13:02:38","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\3f3bca284cd30839f8421d1bb8e25cc8\96df249bb179d595\cc8b4fd92f230ece.bin","cc8b4fd92f230ece.bin",".bin","0","0","12/07/2026 16:50:36","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\3f3bca284cd30839f8421d1bb8e25cc8\96df249bb179d595\86e909d6565bbf04.bin","86e909d6565bbf04.bin",".bin","0","0,4","09/07/2026 11:22:11","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\3f3bca284cd30839f8421d1bb8e25cc8\96df249bb179d595\fbd1bf6ce3876606.bin","fbd1bf6ce3876606.bin",".bin","0","0","06/07/2026 20:14:10","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\c30d67effd5a80bf51a0817799acf3c8\96df249bb179d595\217aa088a73fbc65.bin","217aa088a73fbc65.bin",".bin","0","0","31/07/2026 14:57:00","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\IdentityCache\1\UD\u_JRN7PUU2A1SE7ISK\e_C2GK9UTC67FSUCG3\ID\r_74DB6FURNR2TGPBK\c_94KNEF8S46HLAJC9.bin","c_94KNEF8S46HLAJC9.bin",".bin","0","0","05/12/2025 10:39:53","Model/File"
"C","C:\Users\enrik\AppData\Local\FortniteGame\Saved\PersistentDownloadDir\ConfigRules\configrules.bin","configrules.bin",".bin","0","0","09/04/2026 14:52:19","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\IdentityCache\1\UD\u_JRN7PUU2A1SE7ISK\e_C2GK9UTC67FSUCG3\AT\r_74DB6FURNR2TGPBK\c_VMKM3FJ266RBBIFS.bin","c_VMKM3FJ266RBBIFS.bin",".bin","0","0","03/05/2026 16:31:23","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\ReviewTool.gg\snapshot_blob.bin","snapshot_blob.bin",".bin","0","0,3","01/08/2026 15:16:30","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\wago-app\snapshot_blob.bin","snapshot_blob.bin",".bin","0","0,3","07/06/2026 14:20:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\Warperia\snapshot_blob.bin","snapshot_blob.bin",".bin","0","0,3","04/08/2026 16:04:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\wowup\snapshot_blob.bin","snapshot_blob.bin",".bin","0","0,4","15/01/2026 23:04:02","Model/File"
"C","C:\Users\enrik\AppData\Local\Amazon Games\App\Amazon Games UI\natives_blob.bin","natives_blob.bin",".bin","0","0,1","23/12/2025 20:43:14","Model/File"
"C","C:\Users\enrik\AppData\Local\Amazon Games\App\Amazon Games UI\snapshot_blob.bin","snapshot_blob.bin",".bin","0","0,3","23/12/2025 20:43:13","Model/File"
"C","C:\Users\enrik\AppData\Local\Amazon Games\App\App\Amazon Games UI\._natives_blob.bin","._natives_blob.bin",".bin","0","0","03/03/2026 13:23:27","Model/File"
"C","C:\Users\enrik\AppData\Local\Amazon Games\App\App\Amazon Games UI\._snapshot_blob.bin","._snapshot_blob.bin",".bin","0","0","03/03/2026 13:23:27","Model/File"
"C","C:\Users\enrik\AppData\Local\Amazon Games\App\App\Amazon Games UI\._v8_context_snapshot.bin","._v8_context_snapshot.bin",".bin","0","0","03/03/2026 13:23:26","Model/File"
"C","C:\Users\enrik\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\Sync Data\Nigori.bin","Nigori.bin",".bin","0","0","14/08/2026 15:42:19","Model/File"
"C","C:\Users\enrik\AppData\Local\devin\cli\model_configs_v2.bin","model_configs_v2.bin",".bin","0","0","03/06/2026 16:55:36","Model/File"
"C","C:\Users\enrik\AppData\Local\devin\cli\team_settings.bin","team_settings.bin",".bin","0","0","03/06/2026 16:55:36","Model/File"
"C","C:\Users\enrik\AppData\Local\Discord\app-1.0.9252\snapshot_blob.bin","snapshot_blob.bin",".bin","0","0,3","22/07/2026 23:02:36","Model/File"
